provinsi,gmv_transaksi_juta,reported_turnover_spt_juta,tax_paid_final_juta,annual_order_volume,avg_ticket_size_ribu,digital_payment_ratio,logistics_tracking_ratio,customer_return_rate,bps_ecom_penetration_pct,bps_infrastructure_index,target_non_compliance
Sulawesi Selatan,56.24,48.89,0.24,180,312.43,0.6251,0.634,0.0183,27.4,6.03,0
Sulawesi Selatan,23.58,19.25,0.1,131,179.98,0.5335,0.7214,0.001,27.59,6.03,0
Sulawesi Selatan,14.75,11.39,0.06,154,95.81,0.6336,0.7769,0.0285,27.73,5.84,0
Banten,27.15,20.27,0.1,165,164.54,0.669,0.7034,0.0495,42.75,6.55,0
Riau,62.83,51.09,0.26,168,373.99,0.6149,0.9471,0.0611,25.58,6.17,0
DKI Jakarta,28.38,20.67,0.1,170,166.93,0.6817,0.6392,0.0241,61.11,7.61,0
DKI Jakarta,30.9,23.13,0.12,160,193.1,0.7195,0.8328,0.0366,64.64,7.76,0
Sumatera Selatan,29.92,28.26,0.14,160,187.01,0.7315,0.7958,0.0285,28.5,5.86,0
Riau,17.34,10.97,0.05,166,104.48,0.4684,0.5519,0.0432,26.24,6.1,0
DKI Jakarta,12.64,8.02,0.04,180,70.23,0.6164,0.861,0.0114,65.33,7.75,0
Riau,26.04,21.2,0.11,145,179.56,0.7304,0.8292,0.0281,25.76,6.15,0
Riau,46.78,41.57,0.21,147,318.23,0.4959,0.6569,0.0227,24.13,6.25,0
Sumatera Selatan,35.67,32.59,0.16,178,200.38,0.554,0.7245,0.0515,27.7,5.92,0
Sumatera Utara,12.2,7.82,0.04,153,79.73,0.7349,0.8867,0.0046,27.14,6.1,0
Sumatera Selatan,30.05,20.94,0.1,164,183.21,0.6971,0.662,0.0463,25.74,6.06,0
Sumatera Selatan,40.99,26.73,0.13,170,241.14,0.6558,0.6429,0.0573,24.64,5.82,0
Sumatera Utara,45.57,29.84,0.15,165,276.16,0.6396,0.7402,0.0099,30.19,5.93,0
Sumatera Utara,28.03,19.93,0.1,138,203.08,0.5036,0.8443,0.0263,28.31,6.12,0
Sumatera Selatan,26.43,17.45,0.09,157,168.37,0.74,0.6795,0.0221,22.57,5.73,0
Jawa Barat,17.63,12.93,0.06,162,108.83,0.6019,0.8026,0.0712,42.38,6.05,0
Sulawesi Selatan,22.55,20.62,0.1,167,135.06,0.5425,0.6389,0.0668,31.43,6.19,0
Bali,41.05,30.86,0.15,165,248.81,0.4683,0.7034,0.0581,49.22,6.39,1
Sumatera Utara,16.34,7.16,0.04,165,99.06,0.5921,0.5728,0.0479,31.68,6.08,0
Sulawesi Selatan,15.0,11.71,0.06,154,97.4,0.8839,0.7474,0.0575,27.35,5.84,0
Sumatera Selatan,36.58,29.17,0.15,171,213.89,0.729,0.675,0.0517,25.39,5.93,0
Banten,28.68,18.63,0.09,160,179.24,0.644,0.6751,0.0718,42.19,6.6,0
Banten,50.05,31.35,0.16,156,320.82,0.6894,0.6138,0.0408,44.16,6.26,1
Riau,39.84,35.98,0.18,168,237.12,0.7186,0.8352,0.001,29.48,5.82,0
Jawa Tengah,20.83,14.74,0.07,184,113.22,0.7716,0.728,0.0301,32.02,5.9,0
Sumatera Utara,45.37,25.9,0.13,135,336.1,0.3335,0.838,0.0509,27.37,5.96,1
Banten,26.24,22.74,0.11,152,172.65,0.4968,0.8662,0.0335,45.36,6.36,0
Sumatera Utara,31.29,20.42,0.1,147,212.85,0.7855,0.6586,0.0638,28.58,6.08,0
Banten,21.94,17.28,0.09,176,124.64,0.5868,0.6064,0.0233,46.96,6.45,0
DKI Jakarta,34.46,24.93,0.12,179,192.49,0.5564,0.7697,0.058,63.18,7.8,1
Sumatera Selatan,19.12,4.5,0.02,166,115.17,0.4459,0.781,0.0107,24.42,5.88,1
Banten,9.99,6.01,0.03,168,59.47,0.7443,0.658,0.0467,44.6,6.43,1
Jawa Barat,55.3,30.73,0.15,141,392.18,0.4911,0.853,0.0238,41.77,6.13,1
Jawa Tengah,17.13,12.48,0.06,174,98.44,0.5977,0.7443,0.0133,31.25,5.82,0
Sumatera Utara,19.72,12.65,0.06,174,113.33,0.499,0.6346,0.0388,26.33,6.04,0
Sumatera Selatan,16.17,11.14,0.06,147,110.0,0.4641,0.8294,0.0157,19.36,5.95,0
Jawa Tengah,67.27,56.4,0.28,171,393.42,0.4431,0.8374,0.0554,33.07,5.78,0
Bali,33.36,31.31,0.16,175,190.64,0.8914,0.7558,0.0328,46.79,6.63,0
Sumatera Selatan,31.56,24.6,0.12,153,206.31,0.7924,0.7266,0.0419,23.51,5.82,0
DKI Jakarta,37.22,23.55,0.12,151,246.48,0.6184,0.7808,0.0389,65.07,7.64,0
Jawa Barat,34.58,22.32,0.11,157,220.24,0.4625,0.7607,0.0513,41.96,6.28,1
Sumatera Selatan,26.33,16.64,0.08,158,166.66,0.4905,0.82,0.0261,25.35,5.92,0
Sumatera Utara,26.06,17.42,0.09,159,163.91,0.4867,0.7111,0.0624,26.04,6.09,1
Jawa Barat,49.8,34.2,0.17,151,329.83,0.7496,0.6981,0.0809,42.35,6.04,0
Sulawesi Selatan,13.34,11.35,0.06,157,84.96,0.6626,0.6238,0.0178,30.51,5.98,0
DKI Jakarta,15.19,14.5,0.07,155,97.99,0.776,0.6707,0.0719,62.9,7.8,0
Banten,35.17,10.53,0.05,169,208.09,0.3567,0.5973,0.029,46.05,6.42,1
DKI Jakarta,29.6,27.09,0.14,168,176.21,0.8305,0.5364,0.0299,67.07,8.04,0
Sulawesi Selatan,20.11,15.92,0.08,160,125.72,0.6718,0.7138,0.0569,27.27,6.04,0
Banten,82.27,50.12,0.25,152,541.27,0.3718,0.743,0.0179,43.12,6.3,0
Riau,11.93,7.4,0.04,139,85.82,0.4306,0.6673,0.052,22.91,6.02,0
Bali,23.94,13.35,0.07,157,152.47,0.2749,0.871,0.051,49.18,6.5,0
Jawa Tengah,27.27,11.05,0.06,159,171.49,0.3081,0.6733,0.0386,33.77,5.78,1
Jawa Timur,20.11,14.63,0.07,165,121.88,0.7451,0.5056,0.0378,38.01,5.97,0
Riau,16.17,10.48,0.05,150,107.8,0.4813,0.6787,0.0293,28.24,6.01,0
Sulawesi Selatan,20.56,17.71,0.09,161,127.72,0.5672,0.787,0.0545,26.36,6.17,0
Jawa Barat,46.63,39.23,0.2,135,345.4,0.4897,0.8491,0.0322,46.19,6.26,1
Banten,20.06,17.14,0.09,163,123.07,0.8109,0.7169,0.0623,43.7,6.48,0
Jawa Tengah,30.76,25.94,0.13,170,180.93,0.5144,0.7463,0.0629,33.75,5.83,0
Jawa Barat,17.48,7.37,0.04,158,110.63,0.1748,0.8188,0.0109,43.28,6.26,1
Jawa Barat,39.55,22.13,0.11,185,213.79,0.8358,0.6922,0.0135,42.22,6.27,0
Banten,40.3,33.81,0.17,155,260.01,0.632,0.7252,0.0363,42.32,6.57,0
Jawa Barat,21.7,11.4,0.06,161,134.78,0.1818,0.888,0.0212,43.7,6.09,1
Riau,37.94,31.0,0.15,180,210.77,0.6797,0.5583,0.0262,24.7,6.07,0
Jawa Barat,24.84,18.22,0.09,179,138.76,0.6186,0.7933,0.0237,43.05,6.06,0
Sumatera Utara,25.51,16.21,0.08,170,150.04,0.4463,0.7171,0.0785,27.79,6.36,0
Jawa Tengah,29.9,19.15,0.1,162,184.59,0.3801,0.5809,0.0629,32.66,5.84,1
Banten,28.38,20.13,0.1,165,172.01,0.6647,0.7457,0.0232,41.42,6.53,0
Jawa Barat,27.43,24.65,0.12,166,165.25,0.7767,0.7771,0.0014,38.63,6.17,0
Jawa Barat,12.64,7.72,0.04,168,75.23,0.4615,0.7356,0.0286,44.64,6.26,1
Jawa Timur,12.6,9.45,0.05,152,82.92,0.6579,0.8534,0.0144,38.54,5.96,0
Riau,10.82,6.71,0.03,159,68.06,0.7128,0.7019,0.0542,22.31,6.18,0
Banten,10.37,6.4,0.03,134,77.42,0.2426,0.8287,0.0412,44.75,6.41,0
Jawa Timur,29.07,23.05,0.12,157,185.14,0.6981,0.5903,0.0285,37.18,6.16,0
Sumatera Utara,22.69,17.08,0.09,184,123.32,0.5502,0.524,0.0383,26.42,6.08,0
Sulawesi Selatan,18.17,10.21,0.05,168,108.17,0.5228,0.6107,0.0169,29.25,5.92,1
Bali,66.71,60.82,0.3,174,383.37,0.7212,0.7064,0.0353,50.45,6.66,0
Banten,44.28,26.82,0.13,161,275.0,0.4585,0.7394,0.0726,45.71,6.38,1
Sumatera Utara,11.92,9.74,0.05,166,71.81,0.8081,0.7441,0.0263,31.03,5.92,0
Jawa Tengah,17.3,17.14,0.09,178,97.18,0.5051,0.7349,0.042,34.7,5.91,0
Sumatera Selatan,14.54,11.32,0.06,155,93.78,0.7998,0.7,0.0243,23.07,5.81,0
Bali,24.79,19.73,0.1,164,151.14,0.6775,0.8879,0.024,48.77,6.57,0
Bali,12.71,8.63,0.04,157,80.99,0.7874,0.8387,0.0566,49.32,6.6,0
Jawa Tengah,16.81,14.22,0.07,159,105.75,0.8157,0.9133,0.0152,35.48,5.62,0
Sumatera Selatan,23.54,17.29,0.09,130,181.11,0.7706,0.5921,0.0363,23.94,5.83,1
Jawa Barat,26.61,22.0,0.11,194,137.15,0.5995,0.7316,0.0224,42.43,6.26,0
DKI Jakarta,12.94,10.32,0.05,161,80.36,0.5443,0.6812,0.0675,61.06,7.71,0
Sumatera Selatan,24.36,20.26,0.1,158,154.15,0.6216,0.7464,0.0261,25.63,5.65,0
Banten,22.67,18.38,0.09,145,156.32,0.5336,0.5743,0.0146,44.43,6.37,1
Jawa Tengah,24.65,24.65,0.12,151,163.22,0.8333,0.7966,0.0368,31.9,5.92,0
Sumatera Utara,11.74,9.59,0.05,152,77.22,0.5349,0.8071,0.0368,29.57,6.0,0
Banten,39.75,29.28,0.15,163,243.89,0.727,0.8544,0.0619,43.61,6.35,0
Jawa Tengah,20.15,18.67,0.09,175,115.16,0.6076,0.8581,0.029,31.21,5.81,0
Banten,14.43,10.97,0.05,168,85.9,0.8482,0.9379,0.0484,46.12,6.45,0
DKI Jakarta,25.34,21.15,0.11,167,151.73,0.8372,0.6837,0.02,60.45,7.63,0
Sumatera Selatan,31.7,23.7,0.12,154,205.82,0.8474,0.7348,0.0617,24.54,5.95,0
Sulawesi Selatan,30.02,27.42,0.14,151,198.78,0.7502,0.5365,0.0576,27.73,5.98,0
Sumatera Utara,46.37,38.79,0.19,161,288.03,0.768,0.6383,0.0511,25.95,6.19,0
Riau,18.36,8.57,0.04,170,108.01,0.276,0.8384,0.0567,26.64,6.01,1
Sumatera Selatan,10.43,6.92,0.03,147,70.99,0.3398,0.8885,0.0452,23.28,5.75,0
Banten,19.97,10.92,0.05,160,124.82,0.3541,0.8874,0.0423,46.65,6.45,0
Sulawesi Selatan,7.85,6.73,0.03,166,47.28,0.5252,0.8359,0.017,29.41,6.07,0
Jawa Tengah,15.59,10.02,0.05,158,98.69,0.273,0.7291,0.0266,33.53,5.91,1
Sumatera Selatan,18.16,8.92,0.04,146,124.39,0.5501,1.0,0.0569,20.58,5.98,0
Jawa Tengah,18.34,10.17,0.05,159,115.37,0.3945,0.7275,0.0561,32.37,5.74,1
Jawa Tengah,29.25,21.02,0.11,154,189.97,0.7421,0.719,0.0578,32.25,5.77,0
Banten,23.63,12.73,0.06,163,144.97,0.5263,0.8632,0.0314,45.94,6.54,0
Sumatera Selatan,29.25,18.8,0.09,159,183.94,0.5028,0.8403,0.0735,24.59,5.93,0
Banten,26.68,23.01,0.12,158,168.83,0.7392,0.5976,0.0366,44.6,6.33,0
Bali,11.9,8.82,0.04,159,74.87,0.4721,0.595,0.0492,50.27,6.39,1
Jawa Timur,30.1,25.96,0.13,151,199.32,0.6295,0.7051,0.0955,39.3,5.81,0
Banten,17.16,12.95,0.06,152,112.9,0.8038,0.7723,0.0297,46.31,6.27,0
Sumatera Utara,25.96,21.42,0.11,159,163.26,0.5904,0.6301,0.0544,29.23,5.97,1
Riau,27.42,18.4,0.09,148,185.3,0.6967,0.537,0.0098,25.74,6.11,1
Banten,15.76,11.2,0.06,157,100.4,0.6182,0.5767,0.0326,44.77,6.22,1
Banten,17.37,13.18,0.07,165,105.27,0.5999,0.7695,0.0519,44.07,6.32,0
DKI Jakarta,25.78,19.51,0.1,173,149.0,0.5821,1.0,0.0276,64.72,7.58,0
Jawa Barat,19.03,11.05,0.06,164,116.02,0.5444,0.8294,0.0408,42.53,6.1,1
Jawa Barat,60.02,52.96,0.26,164,366.0,0.4394,0.8149,0.0445,44.74,6.44,0
Sumatera Selatan,25.77,21.69,0.11,175,147.25,0.8194,0.8014,0.0432,24.39,6.02,0
Jawa Timur,13.0,6.67,0.03,152,85.5,0.5713,0.8526,0.001,37.43,6.03,0
Banten,71.02,61.63,0.31,158,449.49,0.6191,0.6703,0.0848,42.33,6.32,0
Sumatera Utara,29.05,18.39,0.09,166,175.02,0.5062,0.6119,0.0178,28.0,5.91,0
Jawa Timur,23.44,16.33,0.08,163,143.83,0.7203,0.8162,0.0239,37.52,5.95,0
Jawa Barat,55.28,43.07,0.22,169,327.09,0.6746,0.6524,0.0075,43.11,5.96,0
Banten,29.27,24.46,0.12,171,171.19,0.7257,0.8847,0.0194,40.6,6.46,0
Jawa Timur,19.42,14.88,0.07,138,140.7,0.6026,0.9259,0.0386,35.0,5.94,0
Sumatera Utara,12.23,11.17,0.06,171,71.55,0.5473,0.7601,0.0597,28.92,6.04,0
Riau,8.75,7.11,0.04,157,55.73,0.8699,0.8835,0.0271,28.41,5.87,0
Sumatera Selatan,41.38,18.68,0.09,149,277.72,0.4137,0.4716,0.042,23.97,5.89,0
Sumatera Utara,23.69,15.78,0.08,139,170.41,0.4232,0.813,0.0457,27.68,6.01,0
Sulawesi Selatan,21.9,19.64,0.1,165,132.7,0.8477,0.6239,0.0167,29.48,5.9,0
Sulawesi Selatan,22.82,16.19,0.08,167,136.65,0.523,0.4893,0.002,27.92,6.04,0
Riau,29.42,21.15,0.11,172,171.05,0.3489,0.5109,0.0199,27.26,6.02,0
Sulawesi Selatan,31.03,22.83,0.11,153,202.84,0.5261,0.7544,0.0657,27.46,6.05,1
Sulawesi Selatan,16.29,8.33,0.04,161,101.2,0.4432,0.8654,0.0229,27.29,6.08,0
Bali,25.67,20.53,0.1,159,161.42,0.6815,0.6543,0.0242,49.97,6.47,0
Jawa Barat,30.66,12.76,0.06,160,191.63,0.4825,0.6523,0.0456,44.39,6.16,0
Riau,18.74,12.32,0.06,163,114.95,0.5247,0.8377,0.0514,25.67,6.08,0
Jawa Barat,9.11,6.12,0.03,160,56.97,0.6284,0.7666,0.0157,41.69,6.3,1
Jawa Tengah,16.45,7.51,0.04,162,101.56,0.585,0.6717,0.0533,30.7,5.96,0
Sumatera Selatan,13.22,9.91,0.05,164,80.59,0.6155,0.7101,0.0484,22.01,5.84,0
Sumatera Utara,42.5,37.24,0.19,156,272.43,0.6585,0.6664,0.0269,27.46,5.99,0
Riau,14.08,9.9,0.05,151,93.21,0.5436,0.9043,0.001,26.62,6.09,0
Jawa Timur,15.24,14.39,0.07,166,91.81,0.8157,0.4035,0.0543,34.35,5.83,1
Bali,16.75,11.21,0.06,156,107.35,0.435,0.8959,0.0454,46.34,6.48,0
Jawa Timur,39.25,26.75,0.13,174,225.55,0.5543,0.6858,0.042,37.42,5.9,0
Riau,36.72,29.46,0.15,159,230.91,0.7374,0.7619,0.0106,28.5,5.78,0
Sumatera Selatan,17.89,12.58,0.06,179,99.96,0.5753,0.6712,0.0837,25.95,5.76,0
DKI Jakarta,18.84,12.48,0.06,160,117.72,0.6568,0.7881,0.018,60.78,7.69,0
Bali,23.1,22.62,0.11,172,134.32,0.6281,0.7811,0.0273,49.33,6.93,0
Riau,57.94,43.05,0.22,190,304.94,0.5086,0.6391,0.0577,27.58,5.99,1
Jawa Barat,9.86,6.5,0.03,163,60.47,0.3114,0.7869,0.0402,42.64,6.23,1
Jawa Tengah,12.37,10.77,0.05,161,76.83,0.6922,0.6907,0.0423,32.84,5.84,0
DKI Jakarta,85.96,69.93,0.35,157,547.5,0.7469,0.8288,0.0143,64.04,7.78,0
Banten,45.31,36.34,0.18,167,271.33,0.7279,0.6396,0.0128,44.85,6.25,0
DKI Jakarta,13.15,9.37,0.05,176,74.69,0.6305,0.6431,0.0462,64.11,7.54,0
Riau,134.88,114.31,0.57,164,822.44,0.6912,0.6969,0.0304,27.24,6.24,0
DKI Jakarta,35.56,20.36,0.1,175,203.19,0.4926,0.6903,0.0766,63.86,7.57,1
Riau,22.48,13.29,0.07,145,155.04,0.6675,0.6886,0.0152,25.21,6.25,1
Sumatera Selatan,53.74,40.58,0.2,168,319.87,0.5872,0.2739,0.0306,23.65,5.84,1
Jawa Timur,13.18,8.34,0.04,136,96.92,0.7138,0.8054,0.0426,35.68,5.86,0
Jawa Timur,17.14,7.85,0.04,148,115.8,0.3084,0.7973,0.0299,36.16,5.9,1
Sumatera Selatan,24.51,15.72,0.08,161,152.23,0.4906,0.597,0.023,25.16,6.07,0
Sulawesi Selatan,29.56,27.58,0.14,156,189.5,0.4668,0.6701,0.0404,26.74,5.93,0
Sulawesi Selatan,25.72,19.85,0.1,148,173.79,0.3356,0.6753,0.0794,29.5,5.96,0
Riau,29.24,23.96,0.12,180,162.42,0.7738,0.7377,0.026,24.67,6.19,0
Jawa Tengah,18.0,13.21,0.07,149,120.81,0.4511,0.8925,0.0067,33.5,5.92,0
Jawa Timur,26.1,20.06,0.1,149,175.16,0.0765,0.6719,0.0501,38.1,6.21,1
Jawa Barat,28.86,17.24,0.09,172,167.79,0.5684,0.657,0.0318,44.05,6.29,0
DKI Jakarta,24.05,16.16,0.08,165,145.77,0.6229,0.715,0.0185,60.77,7.65,0
Jawa Barat,22.13,16.55,0.08,172,128.65,0.6192,0.5518,0.0515,43.58,6.31,0
Sumatera Selatan,18.24,9.52,0.05,160,113.98,0.3685,0.8262,0.0486,23.21,5.65,1
Banten,12.83,8.35,0.04,170,75.48,0.7186,0.8149,0.0255,42.14,6.47,0
Sumatera Utara,49.68,31.05,0.16,160,310.52,0.5699,0.6881,0.0059,28.74,5.96,0
Jawa Tengah,32.77,24.14,0.12,152,215.56,0.6696,0.6731,0.0576,31.33,5.93,0
DKI Jakarta,45.01,31.97,0.16,182,247.32,0.5631,0.4209,0.0256,63.91,7.97,1
Banten,12.93,8.95,0.04,151,85.63,0.8001,0.6245,0.0446,46.3,6.18,0
Banten,14.15,9.13,0.05,123,115.02,0.6284,0.977,0.0366,44.57,6.49,0
DKI Jakarta,21.79,20.0,0.1,154,141.5,0.6535,0.6547,0.0495,63.19,7.83,0
Riau,29.5,17.91,0.09,168,175.57,0.329,0.6333,0.0441,25.91,6.15,1
Jawa Tengah,16.86,11.18,0.06,166,101.58,0.6221,0.6953,0.0657,34.57,5.74,0
Sumatera Utara,55.34,45.53,0.23,150,368.92,0.2476,0.7453,0.0527,27.95,6.03,0
Jawa Timur,38.58,29.09,0.15,167,231.03,0.8521,0.7938,0.001,36.15,5.84,0
DKI Jakarta,25.03,18.68,0.09,156,160.46,0.6628,0.6952,0.0325,62.14,7.78,0
Sulawesi Selatan,29.37,16.54,0.08,172,170.75,0.8171,0.7359,0.0425,26.56,5.85,0
Riau,21.03,14.83,0.07,160,131.43,0.8724,0.9791,0.0316,27.49,6.02,0
Jawa Tengah,16.07,11.81,0.06,152,105.73,0.4509,0.6597,0.0634,32.47,5.94,0
Jawa Tengah,8.84,6.3,0.03,165,53.6,0.7537,0.7653,0.0489,34.03,5.77,0
DKI Jakarta,35.74,24.05,0.12,155,230.57,0.6309,0.6028,0.0018,64.49,7.68,1
Sumatera Selatan,21.87,20.51,0.1,145,150.85,0.8084,0.7136,0.0325,22.89,5.77,0
Jawa Timur,44.64,27.85,0.14,164,272.18,0.6092,0.6787,0.0404,35.66,5.99,1
Jawa Tengah,32.55,30.16,0.15,165,197.26,0.7991,0.6509,0.0239,34.07,5.84,0
Sulawesi Selatan,23.4,19.23,0.1,162,144.46,0.8735,0.5447,0.0535,28.11,5.92,0
Sulawesi Selatan,22.53,15.79,0.08,147,153.27,0.6043,0.8113,0.051,27.63,5.93,0
Banten,17.02,12.89,0.06,165,103.15,0.4521,0.6811,0.0477,44.81,6.4,1
Sumatera Utara,12.48,10.77,0.05,148,84.33,0.8348,0.8469,0.0545,29.93,5.91,0
Bali,13.45,5.88,0.03,146,92.09,0.769,0.7855,0.0667,48.68,6.59,1
Riau,16.7,13.28,0.07,179,93.3,0.6238,0.7153,0.0565,25.3,6.07,0
Jawa Tengah,20.9,16.02,0.08,157,133.15,0.4809,0.6967,0.0561,33.38,5.88,1
Sumatera Selatan,36.64,23.43,0.12,167,219.38,0.8648,0.5975,0.0396,23.11,5.82,1
Jawa Barat,37.28,30.78,0.15,179,208.24,0.8906,0.6155,0.0284,43.59,6.22,0
Sumatera Utara,11.45,9.25,0.05,155,73.86,0.646,0.6339,0.0809,28.41,6.16,0
Banten,33.15,25.62,0.13,145,228.6,0.8972,0.9039,0.0483,42.9,6.46,0
Sumatera Utara,24.54,16.28,0.08,156,157.29,0.6947,0.8742,0.0207,27.8,6.07,0
Sumatera Selatan,33.6,29.49,0.15,160,209.99,0.5269,0.7445,0.0384,23.83,5.71,0
DKI Jakarta,31.24,25.68,0.13,164,190.46,0.573,0.9193,0.033,64.64,7.93,1
Bali,11.95,7.34,0.04,172,69.5,0.6613,0.5618,0.0566,47.43,6.61,0
Jawa Timur,27.35,19.97,0.1,169,161.85,0.8008,0.8845,0.0337,35.64,6.0,0
Jawa Tengah,51.32,24.46,0.12,161,318.79,0.366,0.7882,0.0092,32.64,5.78,1
Sumatera Utara,14.47,12.18,0.06,171,84.61,0.7673,0.782,0.0517,29.26,6.01,0
Sulawesi Selatan,15.54,9.0,0.04,164,94.78,0.5231,0.8493,0.0293,28.99,6.15,0
Bali,9.71,8.69,0.04,157,61.84,0.7694,0.6404,0.001,49.13,6.69,0
Banten,20.72,18.6,0.09,176,117.73,0.7195,0.8494,0.0581,45.19,6.34,0
Sumatera Utara,12.87,6.88,0.03,171,75.25,0.5092,0.8268,0.0138,30.15,6.22,1
Sumatera Utara,16.87,9.9,0.05,173,97.5,0.6764,0.6783,0.0202,28.65,5.92,1
Riau,27.04,16.7,0.08,163,165.87,0.7223,0.9615,0.0416,24.95,5.87,0
Bali,35.27,22.58,0.11,158,223.23,0.8461,0.8026,0.0428,48.62,6.37,0
Jawa Barat,10.64,7.71,0.04,169,62.94,0.7577,0.6623,0.0291,41.34,6.25,0
Banten,19.57,10.29,0.05,167,117.21,0.4251,0.8575,0.0473,44.71,6.3,1
Sumatera Utara,24.83,14.92,0.07,190,130.66,0.6033,0.6471,0.0568,27.67,6.02,0
Sumatera Selatan,20.75,15.53,0.08,151,137.4,0.7519,0.8855,0.0216,24.49,6.01,0
DKI Jakarta,31.87,25.17,0.13,144,221.3,0.4604,0.6883,0.0414,63.41,7.77,0
Sumatera Utara,33.24,26.06,0.13,150,221.6,0.5445,0.8674,0.0426,27.84,5.9,1
Sumatera Selatan,36.15,27.51,0.14,156,231.74,0.6771,0.7462,0.0639,24.66,6.07,0
Jawa Barat,27.82,15.57,0.08,168,165.57,0.7867,0.6583,0.0442,43.19,6.12,1
Jawa Barat,23.83,17.77,0.09,184,129.51,0.463,0.7699,0.0031,42.43,6.14,1
DKI Jakarta,18.09,7.44,0.04,158,114.51,0.5637,0.814,0.0861,61.89,7.64,0
Bali,32.52,28.67,0.14,163,199.54,0.677,0.7978,0.0421,49.27,6.47,0
Sulawesi Selatan,17.2,15.26,0.08,175,98.31,0.6585,0.7256,0.045,26.09,6.04,0
Banten,15.38,9.58,0.05,156,98.6,0.4665,0.4505,0.0377,46.81,6.21,1
Bali,28.15,19.55,0.1,149,188.92,0.7498,0.5424,0.0453,50.67,6.59,0
Sumatera Utara,32.72,28.86,0.14,152,215.3,0.7993,0.6792,0.0483,26.03,6.23,0
Sulawesi Selatan,23.46,17.76,0.09,160,146.63,0.565,0.883,0.0553,28.84,6.1,0
Jawa Barat,31.44,25.19,0.13,155,202.84,0.7164,0.6542,0.0367,45.09,6.17,0
Riau,20.69,12.41,0.06,161,128.48,0.3228,0.6306,0.001,25.27,5.94,1
Sumatera Selatan,21.92,15.13,0.08,161,136.13,0.7123,0.674,0.031,24.85,5.87,0
Riau,25.93,23.28,0.12,147,176.41,0.7592,0.8042,0.0355,25.96,5.97,0
Banten,16.14,8.23,0.04,160,100.9,0.2047,0.5181,0.026,45.14,6.55,1
Jawa Tengah,34.76,27.78,0.14,164,211.97,0.6885,0.6079,0.018,32.53,5.8,0
Jawa Barat,23.29,13.31,0.07,179,130.11,0.6673,0.7113,0.0301,44.9,6.06,0
Riau,20.27,13.06,0.07,151,134.24,0.3785,0.9178,0.0568,25.93,6.04,1
Sumatera Utara,24.04,17.23,0.09,157,153.11,0.6468,0.3736,0.046,27.93,5.95,1
Banten,35.56,23.8,0.12,158,225.08,0.7813,0.8474,0.0126,45.09,6.41,0
DKI Jakarta,9.18,5.96,0.03,160,57.35,0.8368,0.631,0.0046,64.89,7.95,1
Jawa Timur,12.76,9.66,0.05,156,81.8,0.5681,0.6722,0.0043,33.35,5.96,0
Bali,40.99,23.34,0.12,164,249.97,0.5918,0.8126,0.0445,44.38,6.49,1
Riau,27.43,20.61,0.1,146,187.9,0.597,0.6218,0.0094,26.66,6.05,0
Sumatera Selatan,18.93,14.9,0.07,160,118.28,0.5715,0.638,0.0378,23.33,5.73,1
DKI Jakarta,26.22,16.67,0.08,173,151.57,0.5202,0.7016,0.0526,61.56,8.07,1
Banten,32.02,19.48,0.1,161,198.85,0.5487,0.8522,0.0474,43.56,6.6,0
Sumatera Utara,58.7,32.99,0.16,176,333.53,0.8719,0.3391,0.0326,32.78,6.19,1
Sumatera Selatan,18.16,14.54,0.07,152,119.47,0.7114,0.6979,0.0706,22.32,5.97,0
Sumatera Selatan,51.24,42.9,0.21,175,292.81,0.4684,0.9873,0.0273,25.65,5.86,0
DKI Jakarta,29.96,23.19,0.12,153,195.84,0.5958,0.5658,0.0421,62.4,7.71,0
Bali,14.32,9.15,0.05,151,94.81,0.4834,0.6743,0.0318,46.56,6.57,1
DKI Jakarta,16.19,9.41,0.05,148,109.39,0.3413,0.7229,0.0355,62.62,8.02,0
Banten,41.13,34.41,0.17,149,276.05,0.5106,0.7125,0.0559,41.99,6.36,0
Jawa Tengah,48.81,32.51,0.16,158,308.93,0.6944,0.8681,0.0524,30.85,5.79,0
Jawa Timur,23.31,20.15,0.1,163,142.99,0.7405,0.6484,0.0031,35.76,5.95,1
Banten,39.8,16.26,0.08,153,260.14,0.3448,0.7637,0.0188,42.48,6.44,0
Sumatera Utara,28.05,23.77,0.12,160,175.29,0.4367,0.8846,0.056,28.19,5.62,0
DKI Jakarta,22.11,9.42,0.05,156,141.73,0.4668,0.6163,0.0132,63.79,7.78,1
Jawa Barat,25.95,15.32,0.08,161,161.15,0.1449,0.7438,0.0191,42.2,5.84,0
Riau,12.11,6.73,0.03,156,77.63,0.5832,0.6109,0.0463,27.09,6.25,0
DKI Jakarta,21.16,17.67,0.09,165,128.27,0.5529,0.6192,0.0588,62.54,7.52,1
Jawa Tengah,19.43,14.35,0.07,171,113.64,0.5239,0.6854,0.0563,32.97,5.76,0
Bali,35.52,17.85,0.09,144,246.68,0.3103,0.8775,0.0072,45.49,6.37,1
Jawa Tengah,30.56,16.92,0.08,184,166.11,0.2634,0.8831,0.034,33.32,6.08,1
Jawa Barat,22.43,16.26,0.08,172,130.41,0.8433,0.8751,0.0318,46.76,6.15,0
Banten,41.39,26.81,0.13,158,261.98,0.6458,0.7357,0.0274,45.31,6.65,0
Banten,12.66,9.67,0.05,171,74.06,0.7125,0.6324,0.0079,43.86,6.62,0
