provinsi,gmv_transaksi_juta,volume_transaksi_tahunan,proporsi_e_commerce_pct,infrastruktur_digital_score,rasio_pembayaran_digital,frekuensi_pengiriman_logistik,omset_dilaporkan_spt_juta,pajak_disetor_juta,target_compliance_risk
Jawa Tengah,194.98,148,33.6,86.76,0.871,119,193.19,0.97,0
Sumatera Selatan,186.33,120,55.24,87.12,0.772,110,77.61,0.39,0
DKI Jakarta,52.01,127,43.86,66.15,0.287,110,29.35,0.15,1
Sumatera Utara,410.19,132,30.01,67.19,0.825,118,251.82,1.26,0
Sumatera Selatan,57.98,130,30.54,50.81,0.646,136,43.7,0.22,0
Sumatera Utara,28.23,142,44.46,55.55,0.839,132,24.87,0.12,0
Jawa Timur,84.68,136,37.43,62.85,0.622,109,70.26,0.35,0
Bali,15.55,122,21.55,87.52,0.993,117,10.89,0.05,0
Jawa Timur,98.65,156,45.74,89.1,0.844,129,101.01,0.51,0
Sumatera Selatan,151.83,134,50.09,62.15,0.676,109,94.47,0.47,1
Banten,490.58,137,49.18,92.62,0.792,123,446.25,2.23,0
DKI Jakarta,388.07,133,53.51,68.41,0.748,117,363.61,1.82,0
Sumatera Utara,136.33,121,59.83,89.1,0.675,100,63.48,0.32,1
DKI Jakarta,18.74,124,55.76,72.88,0.695,110,8.03,0.04,0
Sulawesi Selatan,123.48,123,39.09,84.92,0.854,116,128.55,0.64,0
Riau,186.98,137,32.5,67.46,0.77,119,118.36,0.59,1
Jawa Timur,290.29,148,13.04,53.46,0.761,119,242.23,1.21,1
Banten,377.73,120,35.13,62.45,0.984,128,158.28,0.79,1
Riau,90.3,126,41.23,84.16,0.747,125,80.96,0.4,0
Jawa Tengah,21.44,138,35.52,94.98,0.641,139,13.48,0.07,0
Jawa Tengah,280.09,142,12.34,80.79,0.344,130,217.87,1.09,0
Banten,37.48,125,31.56,87.68,0.759,121,16.16,0.08,1
Jawa Tengah,165.88,126,42.74,50.69,0.773,127,77.98,0.39,1
Sumatera Selatan,52.96,104,22.69,87.24,0.503,94,49.52,0.25,0
Jawa Barat,50.1,135,36.99,90.94,0.532,141,38.09,0.19,0
Bali,369.79,124,40.18,70.22,0.735,127,334.68,1.67,0
Jawa Timur,133.78,132,48.42,74.2,0.722,116,67.54,0.34,0
Sumatera Utara,287.45,130,55.55,52.57,0.885,116,176.22,0.88,0
Jawa Barat,73.03,126,30.47,58.56,0.435,107,69.62,0.35,0
Jawa Timur,108.01,128,37.21,52.77,0.681,121,84.34,0.42,0
Sumatera Selatan,126.98,146,37.58,85.84,0.87,152,106.02,0.53,0
Jawa Tengah,274.65,104,42.79,89.19,0.551,100,146.72,0.73,1
Jawa Barat,101.72,115,41.45,55.32,0.836,104,77.43,0.39,0
Sumatera Utara,128.15,110,52.1,95.16,0.807,101,112.41,0.56,0
Jawa Barat,124.35,145,7.02,91.14,0.667,146,63.71,0.32,1
Jawa Timur,144.78,142,40.02,78.24,0.628,135,86.09,0.43,1
Banten,25.68,139,40.85,97.94,0.584,134,10.42,0.05,1
Sumatera Utara,74.1,148,32.18,93.24,0.742,145,76.02,0.38,0
Riau,16.21,140,7.83,60.91,0.961,143,15.92,0.08,0
Riau,15.1,134,34.27,96.75,0.859,132,6.94,0.03,0
Bali,498.7,114,26.47,71.71,0.762,114,469.26,2.35,0
DKI Jakarta,22.71,114,55.14,57.59,0.92,113,17.15,0.09,0
Jawa Timur,162.34,123,39.5,59.8,0.797,132,166.72,0.83,0
DKI Jakarta,74.51,125,25.45,83.53,0.568,127,54.48,0.27,0
DKI Jakarta,45.9,136,10.37,98.39,0.878,131,24.53,0.12,0
Jawa Tengah,236.11,132,42.09,71.82,0.822,141,225.86,1.13,0
Sumatera Utara,36.78,149,43.35,78.08,0.865,159,37.14,0.19,0
Bali,294.31,140,32.41,64.71,0.977,126,219.24,1.1,0
Sumatera Selatan,75.38,146,42.24,91.43,0.85,152,50.13,0.25,0
Riau,18.44,130,30.82,55.64,0.501,142,16.67,0.08,0
Sumatera Selatan,64.14,130,47.81,78.53,0.871,112,29.16,0.15,0
Jawa Barat,156.02,145,46.91,78.72,0.691,133,147.87,0.74,0
Bali,70.53,146,15.33,50.06,0.445,134,67.67,0.34,0
Bali,37.02,116,18.26,96.09,0.714,114,21.93,0.11,0
DKI Jakarta,66.93,150,59.38,97.74,0.623,163,27.26,0.14,1
Banten,34.97,128,46.19,72.91,0.486,114,14.21,0.07,1
Bali,294.56,122,19.85,85.56,0.964,125,305.08,1.53,0
Banten,109.65,131,16.16,91.59,0.893,135,99.48,0.5,0
Bali,133.31,138,37.49,55.72,0.636,139,84.41,0.42,0
Sulawesi Selatan,433.47,132,21.29,54.15,0.508,128,423.99,2.12,1
Banten,44.92,135,31.2,83.78,0.792,131,44.02,0.22,0
DKI Jakarta,36.06,121,34.43,77.42,0.724,107,35.71,0.18,0
Jawa Timur,45.16,123,33.91,83.29,0.604,103,32.79,0.16,0
Jawa Tengah,392.66,124,48.52,78.03,0.627,111,366.47,1.83,0
Banten,235.29,125,57.02,85.59,0.663,108,99.87,0.5,1
Sumatera Utara,491.19,129,29.25,57.59,0.947,128,247.56,1.24,1
Banten,25.64,133,21.43,60.57,0.512,140,20.8,0.1,0
Jawa Barat,51.62,133,39.67,61.61,0.82,112,24.14,0.12,0
Jawa Timur,35.81,127,54.58,70.41,0.719,126,15.33,0.08,1
Riau,195.04,131,30.16,87.22,0.658,109,91.75,0.46,0
DKI Jakarta,42.62,130,45.2,90.74,0.81,118,29.64,0.15,0
Jawa Tengah,356.54,138,24.95,69.66,0.708,117,255.79,1.28,1
Bali,69.8,132,35.26,79.5,0.899,117,69.93,0.35,0
DKI Jakarta,314.46,125,21.06,64.46,0.551,132,212.0,1.06,1
Banten,70.69,117,35.13,73.31,0.896,108,51.91,0.26,0
Jawa Tengah,27.22,116,33.6,96.1,0.69,96,25.33,0.13,0
Jawa Barat,176.54,144,42.3,63.2,0.45,123,164.11,0.82,0
Banten,64.76,110,56.34,88.61,0.881,115,39.65,0.2,0
Sumatera Utara,29.16,136,30.33,52.07,0.962,125,25.4,0.13,0
Jawa Barat,59.78,133,11.0,66.92,0.752,143,58.33,0.29,0
DKI Jakarta,70.62,134,32.57,82.28,0.716,129,66.04,0.33,0
Jawa Barat,795.94,142,38.59,88.02,0.802,135,488.25,2.44,1
Riau,159.05,131,37.42,79.02,0.745,122,140.12,0.7,0
Bali,31.3,132,33.11,92.59,0.978,136,27.53,0.14,0
Jawa Barat,58.19,124,52.85,90.22,0.663,130,32.43,0.16,1
Jawa Timur,116.81,113,36.63,80.26,0.394,94,97.57,0.49,0
Jawa Timur,52.09,140,33.74,67.06,0.601,129,23.81,0.12,1
Jawa Timur,68.01,123,25.67,67.82,0.567,108,39.33,0.2,0
Jawa Tengah,38.56,140,14.04,80.14,0.846,149,16.13,0.08,0
DKI Jakarta,23.02,117,38.95,82.17,0.629,119,11.17,0.06,1
Sumatera Utara,321.11,135,37.95,69.33,0.641,119,150.66,0.75,1
Jawa Timur,64.28,137,22.29,69.48,0.365,126,65.27,0.33,0
Jawa Timur,121.7,156,34.47,58.66,0.893,144,61.64,0.31,0
Jawa Tengah,54.38,120,33.27,50.01,0.819,129,24.31,0.12,0
Sulawesi Selatan,370.61,119,27.51,72.61,0.745,112,328.98,1.64,0
Riau,106.14,146,25.48,90.71,0.948,117,87.2,0.44,0
Banten,25.68,119,39.86,87.56,0.783,121,20.89,0.1,0
Jawa Tengah,113.25,142,32.29,98.7,0.786,117,110.96,0.55,0
Bali,138.2,129,27.91,82.8,0.607,127,115.14,0.58,0
Bali,22.78,130,24.66,61.46,0.58,124,19.01,0.1,0
DKI Jakarta,243.27,130,33.44,83.19,0.605,133,169.56,0.85,0
Sulawesi Selatan,107.87,139,46.09,90.6,0.735,134,82.81,0.41,0
Riau,33.59,126,37.48,81.41,0.911,107,30.16,0.15,0
DKI Jakarta,387.55,123,32.15,73.6,0.786,131,245.48,1.23,1
Sumatera Selatan,206.33,137,38.7,80.31,0.331,146,87.37,0.44,1
Jawa Barat,148.51,142,51.37,51.26,0.636,131,100.57,0.5,0
DKI Jakarta,16.02,143,40.88,62.99,0.862,140,10.33,0.05,0
Jawa Barat,465.16,128,38.12,57.73,0.559,123,241.02,1.21,1
Banten,82.23,132,42.66,70.26,0.759,126,70.77,0.35,0
Riau,70.58,145,33.1,93.76,0.669,119,65.14,0.33,0
Banten,18.02,116,37.21,59.21,0.835,109,9.06,0.05,1
Jawa Barat,56.13,134,29.13,53.48,0.814,116,40.01,0.2,0
Jawa Barat,283.01,144,16.39,88.07,0.675,149,173.2,0.87,0
Bali,278.94,122,39.11,92.53,0.703,128,214.55,1.07,0
Sulawesi Selatan,23.45,115,39.16,76.04,0.239,92,10.81,0.05,1
Sumatera Selatan,84.37,116,31.55,68.45,0.942,118,84.98,0.42,0
Jawa Barat,193.16,135,47.43,71.1,0.83,112,85.25,0.43,0
Bali,108.2,112,26.34,82.29,0.448,89,101.12,0.51,0
Riau,47.51,150,13.74,90.73,0.78,120,25.01,0.13,0
Sumatera Utara,152.39,131,26.63,59.28,0.746,123,137.32,0.69,0
Jawa Barat,107.27,149,16.51,94.21,0.809,155,62.58,0.31,0
Sulawesi Selatan,115.55,149,39.06,82.21,0.66,133,105.54,0.53,0
Banten,35.76,124,25.98,86.18,0.707,133,35.59,0.18,0
DKI Jakarta,86.99,125,46.82,54.26,0.482,115,87.7,0.44,0
Jawa Tengah,214.57,125,46.57,95.0,0.68,107,206.27,1.03,0
Banten,107.91,142,23.9,75.88,0.701,133,73.0,0.36,0
DKI Jakarta,148.75,117,25.3,67.74,0.607,115,100.95,0.5,0
Jawa Timur,75.53,139,41.41,69.55,0.945,132,76.97,0.38,0
Banten,244.04,111,46.76,64.36,0.712,103,238.99,1.19,0
Sulawesi Selatan,27.16,128,10.85,57.99,0.777,109,19.42,0.1,0
DKI Jakarta,185.85,140,38.38,51.7,0.885,141,122.41,0.61,0
Sumatera Utara,38.75,118,8.63,62.96,0.64,106,17.87,0.09,0
Sulawesi Selatan,52.33,146,28.42,74.33,0.903,159,33.23,0.17,0
Bali,333.23,138,48.12,82.67,0.735,126,235.32,1.18,1
Sulawesi Selatan,86.78,144,71.12,85.93,0.894,124,81.57,0.41,0
Jawa Barat,95.54,125,32.13,79.18,0.791,132,58.34,0.29,0
Bali,162.92,124,20.03,55.69,0.642,106,97.21,0.49,1
Sulawesi Selatan,184.19,136,28.84,71.15,0.684,115,76.84,0.38,1
Jawa Timur,159.89,142,35.79,82.7,0.44,144,68.07,0.34,0
Banten,128.82,133,26.96,86.42,0.954,118,119.19,0.6,0
Sumatera Utara,11.14,137,23.9,65.9,0.643,126,5.65,0.03,1
Banten,34.78,117,29.88,95.49,0.68,109,35.76,0.18,0
Jawa Tengah,57.25,131,39.75,88.97,0.698,135,25.14,0.13,0
Sulawesi Selatan,280.89,144,32.97,91.73,0.679,140,259.57,1.3,0
Sulawesi Selatan,390.72,136,24.42,82.66,0.564,139,185.52,0.93,1
Jawa Timur,107.4,108,26.96,70.27,0.634,118,87.28,0.44,0
Bali,79.02,122,30.03,95.77,0.278,123,70.47,0.35,1
Jawa Timur,491.86,137,23.01,94.17,0.585,121,269.04,1.35,1
Sumatera Selatan,115.68,125,26.51,90.6,0.566,128,88.45,0.44,1
Sumatera Utara,195.02,132,42.72,93.67,0.943,139,176.97,0.88,0
Banten,133.34,138,32.24,94.91,0.769,128,68.14,0.34,1
Jawa Barat,78.09,118,13.96,86.57,0.643,117,57.76,0.29,0
Riau,94.6,139,47.3,59.82,0.741,131,70.59,0.35,1
Jawa Timur,165.06,134,40.0,76.39,0.335,112,148.39,0.74,1
Jawa Tengah,362.48,136,18.4,80.18,0.801,138,230.15,1.15,0
Jawa Barat,95.48,126,30.62,87.9,0.486,117,78.24,0.39,0
Sulawesi Selatan,88.17,131,25.49,74.26,0.917,118,89.72,0.45,0
Jawa Barat,18.27,115,43.12,75.13,0.881,108,15.73,0.08,0
Sumatera Selatan,29.31,122,30.54,98.78,0.535,118,12.07,0.06,1
Bali,11.37,124,34.13,72.16,0.69,127,5.66,0.03,1
DKI Jakarta,30.24,118,32.73,56.37,0.992,126,19.92,0.1,0
Sumatera Utara,233.31,140,17.24,84.77,0.572,140,154.65,0.77,0
Sumatera Utara,206.07,119,51.86,67.76,0.958,130,126.71,0.63,0
Jawa Timur,233.56,142,42.95,62.18,0.792,120,160.69,0.8,0
Riau,14.41,141,26.03,80.79,0.835,119,14.6,0.07,0
Banten,173.49,131,37.3,96.76,0.543,135,160.12,0.8,0
Banten,57.05,124,46.69,65.33,0.912,122,27.97,0.14,1
Banten,105.07,128,35.67,68.24,0.825,135,72.37,0.36,0
Bali,333.26,131,53.68,72.81,0.646,131,280.95,1.4,0
Riau,131.89,117,70.01,83.71,0.645,94,66.8,0.33,1
Jawa Timur,28.68,134,33.49,69.4,0.72,134,12.42,0.06,1
Sulawesi Selatan,83.53,129,28.01,70.83,0.597,111,85.41,0.43,0
Bali,475.8,125,23.13,84.34,0.737,116,432.99,2.16,0
Sulawesi Selatan,352.49,152,8.44,98.27,0.913,153,343.81,1.72,0
Sumatera Selatan,242.63,139,49.98,65.51,0.748,138,220.28,1.1,0
Jawa Timur,30.18,152,30.76,78.68,0.585,139,25.39,0.13,0
Sumatera Selatan,34.85,121,45.5,88.93,0.89,122,31.27,0.16,0
Jawa Timur,25.14,126,47.92,60.39,0.602,136,18.64,0.09,0
Jawa Tengah,31.12,111,22.03,90.1,0.719,96,17.65,0.09,0
Banten,11.8,119,23.83,67.39,0.378,99,5.44,0.03,1
Sulawesi Selatan,285.99,139,55.94,55.44,0.88,116,225.47,1.13,0
Sumatera Utara,188.77,120,34.16,51.22,0.842,112,102.43,0.51,0
Jawa Timur,242.76,126,27.08,51.62,0.64,112,226.98,1.13,0
Banten,110.1,126,22.46,89.08,0.936,118,82.33,0.41,0
Jawa Tengah,10.52,138,33.3,83.07,0.85,113,11.01,0.06,0
Riau,102.78,122,53.09,88.88,0.591,106,66.86,0.33,0
Jawa Timur,19.57,126,43.23,86.89,0.736,113,13.16,0.07,0
Sumatera Utara,298.8,127,37.18,68.67,0.602,137,171.86,0.86,1
Jawa Timur,14.75,126,54.06,95.72,0.653,112,8.64,0.04,1
Jawa Timur,66.54,133,51.75,93.02,0.805,108,47.27,0.24,0
Sulawesi Selatan,281.37,141,39.01,67.07,0.539,125,124.35,0.62,1
Jawa Timur,239.07,131,68.31,87.87,0.68,141,225.14,1.13,0
DKI Jakarta,267.7,119,32.03,90.16,0.422,110,124.24,0.62,1
Jawa Timur,159.85,128,48.18,73.93,0.669,133,158.13,0.79,0
Sumatera Utara,43.03,119,30.28,55.9,0.981,104,28.37,0.14,0
DKI Jakarta,238.38,124,45.83,66.37,0.864,104,166.6,0.83,0
Jawa Timur,305.7,114,32.02,98.45,0.547,108,313.87,1.57,0
Jawa Barat,309.75,123,40.54,85.08,0.707,124,272.69,1.36,0
Sumatera Utara,252.52,140,63.68,87.96,0.632,147,146.77,0.73,1
Sumatera Selatan,170.52,137,46.42,94.68,0.773,119,102.08,0.51,0
Sulawesi Selatan,351.69,149,40.72,59.94,0.669,163,174.92,0.87,0
Jawa Timur,247.82,129,25.7,97.45,0.434,122,202.03,1.01,0
Bali,20.52,141,37.26,75.39,0.552,134,17.02,0.09,0
Jawa Tengah,62.2,143,22.9,86.49,0.789,151,60.84,0.3,0
Sumatera Selatan,73.5,128,45.64,65.59,0.714,118,42.97,0.21,0
Sumatera Utara,308.54,136,45.34,66.14,0.912,139,136.91,0.68,0
Sumatera Selatan,133.33,135,32.84,67.62,0.856,130,72.4,0.36,1
Sumatera Selatan,18.08,139,54.96,67.05,0.813,116,18.55,0.09,0
Sumatera Utara,26.62,130,53.27,53.06,0.838,105,27.75,0.14,0
Jawa Tengah,65.96,134,36.8,65.17,0.944,144,41.54,0.21,0
Sumatera Utara,47.06,133,41.79,81.72,0.736,140,33.81,0.17,0
Bali,36.48,115,27.94,94.2,0.662,125,34.66,0.17,0
Sulawesi Selatan,57.33,130,31.73,52.04,0.906,130,40.74,0.2,0
Sulawesi Selatan,171.96,129,22.06,50.81,0.675,128,175.97,0.88,0
Jawa Barat,193.89,133,29.26,79.03,0.898,114,183.12,0.92,0
Sumatera Utara,399.09,126,33.75,84.28,0.531,125,351.97,1.76,0
Jawa Barat,130.09,136,15.08,79.8,0.933,128,105.18,0.53,0
Riau,69.61,128,41.92,97.68,0.703,116,37.18,0.19,0
Sulawesi Selatan,89.87,127,47.27,61.21,0.492,127,46.63,0.23,1
DKI Jakarta,16.49,129,34.9,73.58,0.708,106,15.88,0.08,0
Riau,68.38,133,5.0,94.88,0.765,126,38.06,0.19,0
Sulawesi Selatan,42.62,128,31.96,80.26,0.405,131,23.79,0.12,0
Bali,29.55,145,18.28,78.28,0.483,152,28.07,0.14,0
Jawa Timur,80.88,135,27.68,95.71,0.697,127,34.79,0.17,1
Jawa Barat,31.03,139,52.42,66.61,0.56,125,26.89,0.13,0
Sulawesi Selatan,20.45,123,5.79,57.7,0.699,119,16.37,0.08,0
Sulawesi Selatan,151.53,136,25.2,56.33,0.622,114,64.35,0.32,1
Sumatera Utara,225.95,146,44.95,90.27,0.845,120,116.99,0.58,1
Sulawesi Selatan,96.78,136,26.58,91.99,0.575,142,57.58,0.29,0
DKI Jakarta,10.68,136,25.66,61.46,0.54,113,5.85,0.03,0
Riau,78.27,128,59.39,72.4,0.845,118,39.92,0.2,1
DKI Jakarta,17.53,135,39.54,78.66,0.716,124,16.74,0.08,0
Sulawesi Selatan,172.22,141,46.21,56.81,0.814,154,172.42,0.86,0
Riau,306.41,134,40.94,91.59,0.497,135,157.44,0.79,1
Sulawesi Selatan,134.9,126,36.94,70.53,0.415,129,104.67,0.52,1
Sumatera Utara,48.31,161,50.17,92.31,0.896,161,32.93,0.16,1
DKI Jakarta,395.64,139,57.86,87.24,0.932,122,255.04,1.28,0
DKI Jakarta,169.44,137,14.8,64.45,0.919,124,172.75,0.86,0
Jawa Timur,21.48,144,34.58,85.11,0.651,123,9.23,0.05,1
Sumatera Selatan,41.72,150,34.48,86.29,0.957,144,43.12,0.22,0
Jawa Barat,200.08,145,29.85,65.25,0.727,119,121.34,0.61,0
Bali,42.76,138,46.77,62.43,0.798,147,32.93,0.16,0
Jawa Tengah,112.76,137,38.08,90.35,0.72,117,113.36,0.57,0
Banten,79.16,105,58.11,83.22,0.809,90,64.86,0.32,0
Jawa Tengah,60.46,144,48.2,86.24,0.8,136,54.33,0.27,0
Banten,28.43,142,51.38,65.34,0.634,127,13.16,0.07,1
Banten,184.53,128,20.61,85.39,0.745,108,142.16,0.71,0
DKI Jakarta,152.44,132,25.33,85.0,0.722,144,91.75,0.46,0
Sumatera Utara,313.69,135,26.32,66.33,0.574,119,211.0,1.06,0
Sumatera Selatan,50.5,135,50.88,63.25,0.937,137,27.99,0.14,0
Sulawesi Selatan,16.85,117,23.39,71.14,0.616,119,13.48,0.07,0
Jawa Timur,352.41,122,23.74,86.22,0.619,106,263.72,1.32,1
Bali,147.13,123,21.54,59.49,0.885,108,71.12,0.36,0
Bali,10.6,132,68.04,92.84,0.647,126,9.26,0.05,0
Sulawesi Selatan,671.26,127,33.29,62.51,0.966,134,392.59,1.96,1
Jawa Timur,323.19,134,41.36,91.14,0.531,136,252.51,1.26,1
Bali,73.51,126,21.31,57.63,0.743,112,70.89,0.35,0
Sumatera Utara,145.53,146,46.51,86.23,0.566,118,95.83,0.48,0
DKI Jakarta,57.2,144,13.72,77.51,0.543,141,46.66,0.23,0
Jawa Tengah,50.36,130,23.25,82.41,0.962,122,48.37,0.24,0
Riau,90.17,117,26.22,97.73,0.846,105,72.54,0.36,0
Jawa Barat,60.95,144,37.63,52.58,0.699,143,63.32,0.32,0
Banten,66.36,150,25.48,57.31,0.874,162,30.05,0.15,0
Sumatera Selatan,21.23,130,53.29,53.88,0.994,139,13.5,0.07,0
Jawa Barat,738.4,148,41.04,75.46,0.862,147,632.57,3.16,1
Banten,157.44,124,26.72,89.34,0.279,134,112.95,0.56,0
Jawa Tengah,26.96,124,46.97,52.69,0.626,113,15.31,0.08,0
Sumatera Utara,31.13,126,30.28,88.19,0.802,104,19.22,0.1,0
Jawa Tengah,207.35,121,27.91,71.22,0.693,113,180.54,0.9,0
Sulawesi Selatan,1265.69,127,45.75,96.13,0.545,126,1153.26,5.77,1
DKI Jakarta,110.32,149,5.57,68.75,0.782,155,89.65,0.45,0
Sulawesi Selatan,43.3,148,43.82,98.25,0.737,160,42.34,0.21,0
Sumatera Selatan,688.7,131,26.44,77.27,0.675,125,509.0,2.54,1
Bali,161.53,141,26.42,98.51,0.814,128,151.1,0.76,0
Bali,53.89,127,58.5,80.96,0.866,112,25.31,0.13,0
Jawa Barat,123.85,134,28.63,66.97,0.727,131,128.89,0.64,0
Sulawesi Selatan,116.48,138,46.47,89.37,0.388,139,112.8,0.56,0
Sumatera Utara,195.78,132,38.35,73.86,0.785,130,192.01,0.96,0
Sulawesi Selatan,151.96,153,39.6,65.13,0.724,131,147.73,0.74,0
Bali,419.71,130,31.99,73.44,0.893,121,397.67,1.99,0
Sumatera Utara,255.36,128,31.37,92.72,0.889,105,116.28,0.58,0
Jawa Timur,76.54,136,53.34,85.88,0.566,130,75.91,0.38,0
Jawa Barat,392.35,134,46.17,58.51,0.754,115,199.99,1.0,1
Jawa Barat,58.43,157,29.0,91.09,0.821,167,56.33,0.28,0
Jawa Timur,88.04,132,22.45,71.14,0.608,137,67.18,0.34,0
Bali,17.47,132,27.99,54.06,0.804,134,10.2,0.05,0
Sumatera Utara,209.64,126,46.78,57.21,0.844,105,126.76,0.63,0
Banten,140.84,135,49.14,53.24,0.47,126,81.03,0.41,0
Jawa Tengah,212.95,134,41.66,83.15,0.519,114,185.58,0.93,0
Sumatera Utara,510.41,131,15.6,62.62,0.687,106,448.22,2.24,0
Riau,84.76,129,44.05,54.72,0.703,118,57.46,0.29,0
Sulawesi Selatan,222.79,126,50.64,67.92,0.822,112,151.01,0.76,0
Sumatera Selatan,171.93,148,37.08,92.48,0.95,159,92.61,0.46,1
Riau,345.97,127,58.76,80.81,0.705,136,227.93,1.14,0
Sulawesi Selatan,447.49,122,19.15,73.83,0.752,131,371.75,1.86,0
Banten,333.07,142,43.22,85.93,0.577,114,268.59,1.34,1
Sulawesi Selatan,108.93,130,22.76,53.72,0.514,124,52.77,0.26,1
Jawa Timur,43.15,136,47.7,93.26,0.415,109,37.77,0.19,0
Jawa Barat,27.68,128,42.35,58.71,0.537,125,28.88,0.14,0
Banten,58.48,122,56.62,51.05,0.672,116,54.21,0.27,0
Jawa Barat,87.51,131,41.0,67.76,0.501,121,35.46,0.18,1
Jawa Barat,421.54,159,30.15,52.86,0.69,129,393.88,1.97,0
Bali,78.56,138,29.11,58.19,0.608,114,32.96,0.16,1
Sumatera Selatan,13.97,143,32.0,86.21,0.915,127,6.81,0.03,0
Jawa Tengah,74.17,125,28.87,69.83,0.663,109,41.36,0.21,0
Bali,81.31,130,51.17,50.34,0.835,110,58.53,0.29,0
DKI Jakarta,52.41,143,50.31,81.54,0.936,150,49.73,0.25,0
Jawa Tengah,129.08,149,17.04,84.65,0.34,120,119.93,0.6,0
Sumatera Selatan,89.48,124,35.46,94.2,0.945,107,57.46,0.29,0
Jawa Timur,21.07,128,35.75,57.58,0.569,137,14.92,0.07,0
Sumatera Selatan,108.09,122,25.62,92.0,0.812,129,55.21,0.28,0
Bali,230.85,128,40.26,84.73,0.702,116,235.17,1.18,0
DKI Jakarta,172.34,123,52.53,77.62,0.941,128,99.54,0.5,0
DKI Jakarta,21.37,131,45.7,62.83,0.865,110,11.39,0.06,0
Sulawesi Selatan,395.6,131,51.16,72.43,0.866,129,412.16,2.06,0
Sumatera Utara,133.38,139,26.38,59.72,0.779,148,71.71,0.36,0
Sumatera Utara,109.51,123,35.44,85.17,0.872,115,56.73,0.28,0
Banten,48.55,136,25.81,84.48,0.779,115,50.43,0.25,0
Banten,278.61,130,37.87,59.38,0.885,126,125.31,0.63,0
Riau,193.93,129,38.95,62.38,0.623,132,81.75,0.41,1
Sumatera Utara,15.13,125,46.52,94.15,0.594,132,10.54,0.05,0
Jawa Barat,25.97,143,50.76,73.11,0.452,130,15.4,0.08,0
Riau,17.83,123,43.27,77.0,0.621,108,17.21,0.09,0
Riau,128.05,128,24.68,96.97,0.896,128,112.39,0.56,0
Jawa Barat,905.21,128,18.77,60.14,0.587,111,680.19,3.4,1
Jawa Timur,396.25,140,41.24,80.73,0.537,122,161.09,0.81,1
Sumatera Selatan,142.26,141,53.01,87.93,0.571,120,81.46,0.41,1
Riau,577.35,138,34.7,65.65,0.745,125,565.12,2.83,0
Jawa Barat,96.56,131,16.67,65.13,0.988,122,54.21,0.27,0
DKI Jakarta,60.44,138,60.02,93.94,0.845,140,25.26,0.13,0
Sumatera Utara,112.94,126,40.87,54.87,0.568,104,62.14,0.31,1
Banten,51.71,126,37.05,57.71,0.592,116,46.12,0.23,0
Sulawesi Selatan,63.15,144,20.98,70.14,0.936,143,60.55,0.3,0
Sumatera Utara,122.41,146,35.19,89.12,0.757,140,71.66,0.36,0
Sulawesi Selatan,159.89,153,43.24,72.29,0.752,158,88.09,0.44,0
Jawa Tengah,276.6,106,41.04,63.26,0.793,113,261.21,1.31,0
Banten,95.27,144,26.84,70.59,0.803,124,50.26,0.25,0
Jawa Barat,207.36,109,34.32,71.83,0.989,116,131.91,0.66,0
Sumatera Utara,15.69,128,27.61,85.62,0.478,136,10.16,0.05,0
Jawa Barat,47.86,116,54.97,92.57,0.557,105,31.46,0.16,1
Banten,38.35,122,45.74,65.74,0.714,127,17.21,0.09,1
Jawa Timur,147.66,128,28.71,84.72,0.647,122,140.05,0.7,0
Jawa Barat,29.86,135,20.98,84.37,0.812,140,16.12,0.08,0
DKI Jakarta,676.71,141,38.33,87.58,0.655,144,432.08,2.16,1
Sumatera Utara,131.09,140,29.09,78.19,0.909,152,106.74,0.53,0
Sulawesi Selatan,299.36,138,29.98,50.72,0.804,119,276.12,1.38,0
Jawa Barat,22.26,134,21.38,82.14,0.715,136,17.4,0.09,0
Banten,156.22,129,22.86,80.0,0.857,103,99.21,0.5,0
Jawa Tengah,231.84,127,36.95,79.96,0.941,136,93.53,0.47,1
Bali,145.56,134,31.8,63.78,0.493,115,105.06,0.53,0
Banten,123.68,116,64.96,54.8,0.755,105,94.67,0.47,0
Sulawesi Selatan,204.11,128,42.13,59.28,0.861,134,129.34,0.65,0
Jawa Tengah,472.16,126,21.18,60.59,0.588,118,382.06,1.91,0
DKI Jakarta,150.46,114,16.57,58.51,0.915,113,137.23,0.69,0
Sumatera Utara,294.99,121,39.78,61.98,0.48,109,124.81,0.62,1
Riau,77.08,134,30.24,53.37,0.972,129,71.49,0.36,0
Sulawesi Selatan,94.54,137,50.98,63.2,0.813,144,74.1,0.37,0
Bali,151.71,128,38.38,98.9,0.857,136,92.79,0.46,0
Bali,37.13,124,11.21,75.06,0.872,116,31.6,0.16,0
Riau,36.69,133,22.77,66.88,0.5,135,31.46,0.16,0
Jawa Timur,1049.33,123,26.9,85.3,0.931,115,936.68,4.68,0
Banten,355.63,126,40.3,73.0,0.831,136,237.64,1.19,0
Jawa Barat,437.95,122,22.37,51.45,0.462,124,339.28,1.7,1
Banten,308.07,130,36.83,76.82,0.731,120,218.62,1.09,0
Jawa Timur,254.78,122,18.97,64.9,0.823,115,162.18,0.81,0
DKI Jakarta,375.96,124,35.07,77.99,0.748,106,181.97,0.91,1
Jawa Tengah,165.64,125,39.44,58.49,0.768,135,165.2,0.83,0
Sumatera Utara,70.55,133,52.54,73.64,0.761,116,34.06,0.17,0
